PMID,PMCID,Matched_Section,Extracted_Section,Status
8057077,2216865,,,section_not_found
27168519,8786273,authors' conclusions,"CBT‐based psychological therapy can result in fewer individuals repeating SH; however, the quality of this evidence, assessed using GRADE criteria, ranged between moderate and low. Dialectical behaviour therapy for people with multiple episodes of SH/probable personality disorder may lead to a reduction in frequency of SH, but this finding is based on low quality evidence. Case management and remote contact interventions did not appear to have any benefits in terms of reducing repetition of SH. Other therapeutic approaches were mostly evaluated in single trials of moderate to very low quality such that the evidence relating to these interventions is inconclusive.",success
27353385,9239532,authors' conclusions,"Since most trials addressed preventing STI/HIV and pregnancy, they emphasized condom use. However, several studies covered a range of contraceptive methods. The overall quality of evidence was low. Main reasons for downgrading the evidence were having limited information on intervention fidelity, analyzing a subsample rather than all those randomized, and having high losses.",success
38084334,10702154,summary of the evidence,"A total of 276 articles were reviewed and 29 articles were included within the study. Within these articles, the anatomic origins of neuroforaminal stenosis were reviewed in detail and the resulting clinical manifestations were discussed. Recent studies evaluating the efficacy of existing diagnostic imaging modalities were summarized, along with potential future methods to improve sensitivity for detecting this entity and measuring foraminal stenosis via novel imaging techniques. Based on the literature, the conservative management and surgical treatment of lumbosacral foraminal stenosis were discussed.",success
37150779,10164664,conclusions and perspectives,"Developing high-quality AI models for health imaging requires access to large amounts of curated, annotated, and harmonized imaging data along with their metadata and associated clinical labeling information. However, these datasets might have been produced by different vendors and protocols and use different terminologies and data models to be represented. As such, appropriate infrastructures are required for enabling access to the data and raising the trust of data providers in data sharing initiatives. Various approaches have been implemented already by the projects participating in the AI4HI initiative, ranging from centrally collecting anonymized data to federated learning performed at each clinical center. Independent of the approach, a harmonization methodology is also required to ensure homogeneous access to heterogeneous data. Further, despite the plethora of models, typically the specific requirements set by each project necessitate the use of specific models and terminologies in order to appropriately describe the available data making the result data from each project not directly homogenized with data from the other projects. And even that is usually not enough, as extensions are also often required that are project-specific. On the other hand, based on the specific data collected by each project there are also corresponding curation tools. The requirements for data curation, however, lead to similar tools, and efforts are duplicated across the different projects. As such we envision an online EU meta-tool-repository where the tools will be available to be used directly by the various projects working on the area, without requiring effort duplication. To further harmonize practices, contribute to standards, ensure interoperability and in-fine, raise trust in data sharing, and advance AI development in cancer imaging, the five projects of the AI4HI initiative have gathered in a new project: EuCAIM (European Federation for Cancer Images) funded under the Digital Europe Programme. This very ambitious project, composed of 79 partners, will demonstrate technologies, operational procedures, and legal frameworks which are reproducible, efficient, and cost-effective for enabling a cross-border reuse of health data in research and innovation projects.",success
35836323,9470045,conclusions:,"It seems that the COVID-19 pandemic had great impact on young children with FEPD and their parents because parents of children with FEPD reported significantly more perceived stress within both the child and parents, more difficult eating behavior of the child, more negative behavior between family members, and less support from the environment as compared with HC.",success
30126148,6111299,3.3. result summary,"The imaging system had the ability to reproduce the position of a start point of the system, which was a very important feature as it enabled the direct reuse of the fusion model for multiple images. The proposed method relied on the assumption that all bands of a surface point were projected to the same point in the image [ Several factors may influence the accuracy of the fusion model, including the sensor resolution, the setup of experiment platform, and the precision of data processing algorithms. Higher resolution hyperspectral cameras can achieve higher quality hyperspectral images, especially in u-axis image coordinate. With a higher resolution depth sensor, for example, 0.1 mm scale accuracy, pixel level hyperspectral image can be matched with corresponding 3D information using the fusion model in this paper. We attached the plants and gauge in the middle of the assigned start point and end point, to guarantee the uniform scanning speed when imaging the objects. Furthermore, we used an average method (captured 20 images and selected 8 reference points evenly) to minimize the error that may be caused by the corner detected algorithm.",success
21995590,3233274,conclusions,These data show that NOMAC/E2 provides high contraceptive efficacy with acceptable cycle control as well as an overall adverse event profile similar to that of DRSP/EE.,success
31467278,6715725,discussion,"Over the past 10 years, the community has continuously released new binary PPI detection tools. The benchmarking of these assays, using a first generation of positive (hsPRS-v1) and random (hsRRS-v1) reference sets, revealed that they often identify distinct subsets of interactions We eliminated the possibility that the failure of 10 combined assays to detect about a third of known interactions in the original hsPRSv1 Using the improved standards under conditions that maximized specificity, we have shown that considering three experimental parameters, i.e. protein orientation, tagging configuration and expression system (Fig. Surprisingly, 22% of hsPRS-v2 pairs remained undetected after combining the six assays tested in this study, even though all interactions had similar numbers of experimental evidence and publications (Supplementary Fig. Given the difficulties of performing heterogeneous PPI assays with the necessity of preparing different clones for expression vectors and setting up different experiments, performing an equal number of N2H assay versions to acquire comparable PPI detection offers a valuable alternative to reduce these efforts (Fig. The fact that expression environment has a strong impact on PPI detection is particularly interesting as it can easily be tuned with N2H or similar versatile assays. For example, protein pairs could be expressed in multiple cell lines, including distinct cell types and tissue origins, while a range of pH or salt concentrations could easily be tested when performing the assay in vitro. From a single set of plasmids, this would open access to almost unlimited assay versions to generate near-complete, high-quality binary interactome maps in a more time-effective manner.",success
8789124,1225007,,,section_not_found
