pmid,pub_year,journal,publication_types,mesh_terms
8057077,1994,The Journal of general physiology,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","Animals; Cattle; Cells, Cultured; Electrolytes; Electrophysiology; Endothelium, Vascular; Ion Channel Gating; Kinetics; Permeability; Potassium Channels; Pulmonary Artery; Rubidium"
27168519,2016,The Cochrane database of systematic reviews,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Review; Systematic Review",Adult; Cognitive Behavioral Therapy; Depression; Humans; Personality Disorders; Problem Solving; Psychotherapy; Randomized Controlled Trials as Topic; Self-Injurious Behavior; Suicidal Ideation; Theory of Mind
20203436,2010,The Journal of veterinary medical science,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Animals, Wild; Birds; China; Cryptosporidium; DNA Primers; DNA, Ribosomal; Eimeria; Feces; Gene Amplification; Phylogeny"
27353385,2016,The Cochrane database of systematic reviews,"Journal Article; Meta-Analysis; Research Support, N.I.H., Extramural; Review; Systematic Review","Adolescent; Condoms; Contraception; Contraception Behavior; Contraception, Postcoital; Female; Humans; Male; Pregnancy; Pregnancy in Adolescence; Program Evaluation; Randomized Controlled Trials as Topic; School Health Services; Schools; Sex Education; Sexually Transmitted Diseases; Young Adult"
34657444,2021,"Hypertension (Dallas, Tex. : 1979)","Journal Article; Research Support, Non-U.S. Gov't",Adrenal Cortex Neoplasms; Adrenal Glands; Adrenocortical Adenoma; Adult; Female; Humans; Hyperaldosteronism; Male; Middle Aged; Transcriptome
9294935,1997,Dysphagia,Case Reports; Journal Article,Aged; Alzheimer Disease; Antipsychotic Agents; Deglutition Disorders; Fluoroscopy; Haloperidol; Humans; Male; Mental Disorders; Severity of Illness Index; Thioridazine
23388799,2012,Optics express,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",
32272430,2020,Neural networks : the official journal of the International Neural Network Society,Journal Article,"Artificial Intelligence; Crowding; Humans; Neural Networks, Computer; Pattern Recognition, Automated; Pattern Recognition, Visual; Photic Stimulation; Recognition, Psychology; Visual Perception"
17722706,2007,Clinical nephrology,Journal Article,"Cross-Sectional Studies; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Diabetic Nephropathies; Diabetic Retinopathy; Female; Humans; Kidney; Male; Middle Aged"
38084334,2023,Spartan medical research journal,Journal Article; Scoping Review,
37150779,2023,European radiology experimental,"Review; Journal Article; Research Support, Non-U.S. Gov't",Humans; Artificial Intelligence; Diagnostic Imaging; Forecasting; Big Data; Neoplasms
33095090,2021,Leukemia & lymphoma,Journal Article,"Adolescent; B-Lymphocyte Subsets; Child; Epstein-Barr Virus Infections; Herpesvirus 4, Human; Hodgkin Disease; Humans; Prospective Studies"
31030749,2019,Progress in molecular biology and translational science,"Journal Article; Research Support, Non-U.S. Gov't; Review","Clinical Trials as Topic; Disease; Heparin, Low-Molecular-Weight; Humans"
31304827,2019,Future medicinal chemistry,"Journal Article; Research Support, Non-U.S. Gov't; Review",Animals; Biomedical Research; Drug Design; Humans; Ligands
23352618,2013,Gait & posture,"Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't","Aged; Equipment and Supplies; Feedback, Sensory; Female; Humans; Male; Middle Aged; Postural Balance; Time Factors"
35836323,2022,Journal of pediatric gastroenterology and nutrition,Journal Article,"Avoidant Restrictive Food Intake Disorder; COVID-19; Child; Child, Preschool; Cross-Sectional Studies; Feeding and Eating Disorders; Female; Humans; Male; Pandemics"
2316808,1990,American journal of surgery,Journal Article,"Clinical Clerkship; Clinical Competence; Education, Medical, Undergraduate; Factor Analysis, Statistical; General Surgery; Humans; Medical Records; Physical Examination; Program Evaluation; Reproducibility of Results"
7049964,1982,The International journal of artificial organs,Journal Article,"Humans; Kidneys, Artificial; Kinetics; Metabolic Clearance Rate; Molecular Weight; Pentetic Acid; Technetium; Technetium Tc 99m Pentetate; Ultrafiltration; Uremia"
30126148,2018,"Sensors (Basel, Switzerland)",Journal Article,
16180315,2005,Actas urologicas espanolas,Comparative Study; English Abstract; Journal Article,Adult; Aged; Female; Humans; Laparoscopy; Male; Middle Aged; Postoperative Complications; Retroperitoneal Space; Spain; Treatment Outcome
1910436,1991,Transplant international : official journal of the European Society for Organ Transplantation,Comparative Study; Journal Article,Adult; Apolipoproteins B; Azathioprine; Cyclosporine; Drug Administration Schedule; Female; Graft Survival; Humans; Kidney Transplantation; Lipids; Lipoproteins; Longitudinal Studies; Male; Prednisolone
27335331,2016,European journal of public health,"Journal Article; Research Support, Non-U.S. Gov't",Adult; Age Factors; Aged; Female; Humans; Male; Middle Aged; Mortality; Occupational Stress; Risk Factors; Sense of Coherence; Sex Factors; Socioeconomic Factors; Sweden
21995590,2011,The European journal of contraception & reproductive health care : the official journal of the European Society of Contraception,"Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Acne Vulgaris; Adolescent; Adult; Androstenes; Contraceptives, Oral, Combined; Contraceptives, Oral, Synthetic; Estradiol; Estrogens; Ethinyl Estradiol; Female; Humans; Megestrol; Menstrual Cycle; Metrorrhagia; Middle Aged; Mineralocorticoid Receptor Antagonists; Norpregnadienes; Pregnancy; Pregnancy Rate; Substance Withdrawal Syndrome; Young Adult"
31467278,2019,Nature communications,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Biological Assay; Databases, Protein; HEK293 Cells; HeLa Cells; High-Throughput Screening Assays; Humans; Protein Interaction Mapping; Protein Interaction Maps; Proteins; Proteome; Proteomics; Two-Hybrid System Techniques"
7152509,1982,Human pathology,Case Reports; Journal Article,"Adenocarcinoma; Breast Neoplasms; Female; Humans; Lymphatic Metastasis; Middle Aged; Neoplasm Invasiveness; Neoplasms, Muscle Tissue"
19616778,2009,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,Journal Article; Randomized Controlled Trial,"Abortion, Spontaneous; Administration, Oral; Adult; Endometrium; Female; Follow-Up Studies; Humans; Misoprostol; Oxytocics; Pain; Pain Measurement; Pregnancy; Pregnancy Trimester, First; Prospective Studies; Treatment Outcome; Uterine Hemorrhage; Young Adult"
42126,1979,Research in veterinary science,Journal Article,Animals; Bacteriological Techniques; Blood; Culture Media; Dysentery; Hydrogen-Ion Concentration; Intestines; Rabbits; Spirochaetales; Swine; Swine Diseases; Treponema
8789124,1996,Biophysical journal,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","Actinin; Animals; Biomechanical Phenomena; Biophysical Phenomena; Biophysics; Carrier Proteins; Cytoskeletal Proteins; Dictyostelium; Elasticity; Fungal Proteins; Microfilament Proteins; Mutation; Phenotype; Protozoan Proteins; Rheology; Stress, Mechanical; Viscosity"
