cell_i,cell_j,delta_bench,delta_kb_signed,delta_kb_abs,rank_inverted,rank_tied
BL|T1B,BL|T2,0.020377,-0.461111,0.461111,1,0
BL|T1B,PB|T1B,0.008536,0.159568,0.159568,0,0
BL|T1F,BL|T2,-0.022836,-0.081173,0.081173,0,0
BL|T1F,PB|T2,-0.009417,-0.066358,0.066358,0,0
BL|T1F,PL|T1B,-0.002620,0.403086,0.403086,1,0
BL|T1F,PL|T1F,0.008792,-0.029012,0.029012,1,0
BL|T1F,PL|T2,-0.001779,-0.086728,0.086728,0,0
BL|T2,PB|T1B,-0.011841,0.620679,0.620679,1,0
BL|T2,PB|T2,0.013419,0.014815,0.014815,0,0
BL|T2,PL|T1B,0.020216,0.484259,0.484259,0,0
BL|T2,PL|T2,0.021057,-0.005556,0.005556,1,0
PB|T1B,PB|T2,0.025260,-0.605864,0.605864,1,0
PB|T2,PL|T1B,0.006797,0.469444,0.469444,0,0
PB|T2,PL|T1F,0.018209,0.037346,0.037346,0,0
PB|T2,PL|T2,0.007638,-0.020370,0.020370,1,0
PL|T1B,PL|T1F,0.011412,-0.432099,0.432099,1,0
PL|T1B,PL|T2,0.000841,-0.489815,0.489815,1,0
PL|T1F,PL|T2,-0.010571,-0.057716,0.057716,0,0
