target_id,pairing_family,heuristic_label,llm_opus_label,author_label,author_confidence,author_rationale
GL_0001,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,Erlotinib is explicitly named as an EGFR tyrosine kinase inhibitor whose effectiveness varies with EGFR mutation type.
GL_0003,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,The abstract characterises gefitinib as an EGFR-targeted TKI and links specific EGFR kinase-domain mutations to its inhibition of EGFR signalling.
GL_0019,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,"Gefitinib is studied as EGFR-directed therapy in NSCLC, with EGFR exon 19 / L858R mutations predicting time to treatment failure."
GL_0031,gene_drug,DRUG_GENE_REGULATION,__NEGATIVE__,__NEGATIVE__,,Tanespimycin is not mentioned in the abstract; only crizotinib and next-generation ALK TKIs are named.
GL_0039,gene_drug,DRUG_GENE_REGULATION,__NEGATIVE__,__NEGATIVE__,,Same source abstract as GL_0031: tanespimycin does not appear in the text.
GL_0040,gene_drug,ASSOCIATION_GENERAL,ASSOCIATION_GENERAL,ASSOCIATION_GENERAL,,"EGFR-mutant outgrowth is reported as a bypass resistance mechanism to crizotinib in ALK+ NSCLC, an indirect association rather than direct regulation."
GL_0043,gene_drug,DRUG_GENE_REGULATION,__NEGATIVE__,__NEGATIVE__,,Lapatinib is not named in the abstract; the comparators discussed are erlotinib and BIBW2992.
GL_0050,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,"Salirasib is described as a Ras-membrane-binding inhibitor that blocks Ras isoform function, evaluated in KRAS-mutant lung adenocarcinoma."
GL_0055,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,Crizotinib is explicitly the small-molecule ALK inhibitor whose direct activity and resistance mutations against ALK are the central topic.
GL_0068,gene_drug,DRUG_GENE_REGULATION,__NEGATIVE__,__NEGATIVE__,,The abstract refers only to 'EGFR tyrosine kinase inhibitors' generically; dacomitinib is not named (and its code PF00299804 does not appear either).
GL_0070,gene_drug,ASSOCIATION_GENERAL,__NEGATIVE__,__NEGATIVE__,,"Gefitinib is not named in the abstract — only erlotinib, HKI-272, and cetuximab are explicitly mentioned as small-molecule or antibody EGFR inhibitors."
GL_0073,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,"Crizotinib is named as the ALK inhibitor under study, with the abstract centred on ALK-targeted activity and resistance mechanisms."
