encoder,update,schedule,n_seeds,biored_macro_f1_ex_neg_mean,biored_macro_f1_ex_neg_median,biored_macro_f1_ex_neg_sd,biored_macro_f1_ex_neg_min,biored_macro_f1_ex_neg_max,biored_macro_f1_ex_neg_ci95_halfwidth,bc5cdr_macro_f1_mean,bc5cdr_macro_f1_median,bc5cdr_macro_f1_sd,bc5cdr_macro_f1_min,bc5cdr_macro_f1_max,bc5cdr_macro_f1_ci95_halfwidth,bc5cdr_drug_disease_f1_mean,bc5cdr_drug_disease_f1_median,bc5cdr_drug_disease_f1_sd,bc5cdr_drug_disease_f1_min,bc5cdr_drug_disease_f1_max,bc5cdr_drug_disease_f1_ci95_halfwidth,kb_hit_A_setvalued_mean,kb_hit_A_setvalued_median,kb_hit_A_setvalued_sd,kb_hit_A_setvalued_min,kb_hit_A_setvalued_max,kb_hit_A_setvalued_ci95_halfwidth,kb_pmass_B_setvalued_mean,kb_pmass_B_setvalued_median,kb_pmass_B_setvalued_sd,kb_pmass_B_setvalued_min,kb_pmass_B_setvalued_max,kb_pmass_B_setvalued_ci95_halfwidth,kb_auc_C_setvalued_mean,kb_auc_C_setvalued_median,kb_auc_C_setvalued_sd,kb_auc_C_setvalued_min,kb_auc_C_setvalued_max,kb_auc_C_setvalued_ci95_halfwidth
BL,FT,T1B,20,0.3865029811985999,0.389647951238288,0.02015149760930752,0.343702191047577,0.417114187750823,0.008831783226555878,0.17211455814459795,0.16991349718968157,0.011976805226145512,0.15325964004243808,0.1961824295548229,0.0052490663252314764,0.6819579894072897,0.6799313823037687,0.04020902007860707,0.614408585972567,0.7432802458787371,0.01762238003206619,0.3098765432098765,0.3333333333333333,0.13060479764818855,0.05555555555555555,0.6111111111111112,0.05724007632287503,0.25894237040142515,0.24186019632350192,0.10316874871642041,0.11633749313531788,0.478176784710628,0.045215697715568,0.5422231942837648,0.6018890409106814,0.1554404911119712,0.18911812040044798,0.8041660628136352,0.06812479889813461
BL,FT,T1F,20,0.3432905790463033,0.35479744119891643,0.034268800089989795,0.25032648691117954,0.3824466141731336,0.015018963835679347,0.21933113175472196,0.21926484329229098,0.0046118086719000055,0.21212550012337575,0.22834562500712768,0.0020212142671599213,0.8394741719432951,0.8388721636243628,0.025201538241748932,0.8015862436683551,0.8891292274414662,0.011045061118637784,0.6898148148148149,0.6790123456790124,0.12822393332239165,0.4382716049382716,0.8827160493827161,0.056196616525248565,0.5037271937547269,0.49870726676624744,0.059663606152787214,0.39795597364269425,0.6111711067539916,0.026148728311519754,0.8620896018034333,0.865798344159523,0.057678525711724944,0.7689834659257708,0.9813055272928669,0.025278728449343736
BL,FT,T2,20,0.3661262135902941,0.3704634885301922,0.024424441806809468,0.31236038785007303,0.40658418416591097,0.010704483589732696,0.21902797213943448,0.2192002645710172,0.0037446150719484357,0.212569107557249,0.22650943003654664,0.0016411499146876058,0.8360032502937662,0.8401442920477993,0.01973348926205211,0.7972574562907097,0.8782223294238248,0.008648582990949292,0.7709876543209877,0.8209876543209876,0.12838764223576943,0.3765432098765432,0.8950617283950617,0.05626836511998028,0.6032206312993277,0.6143250238327497,0.09435515467083953,0.3882409821880297,0.8094938468512501,0.04135296981481478,0.8523632581066984,0.8731648093766374,0.10099691200495962,0.5990791650791323,0.9876813916621098,0.04426384830908824
PB,FT,T1B,20,0.3779670697150719,0.3841677034955693,0.028015097689302524,0.2940773249594969,0.41775366908447625,0.012278157914597233,0.17161388679953374,0.17372336398447302,0.008589802232173021,0.15682001583402347,0.18705142261700597,0.0037646468140659878,0.6599104462783502,0.6581528869469041,0.030885259868779002,0.6071911807111328,0.7138379760800341,0.013536061951589871,0.15030864197530863,0.1450617283950617,0.11606374681263908,0.006172839506172839,0.3395061728395062,0.05086717980889156,0.155440315224369,0.15745223299880443,0.06398916397608581,0.06115261474221853,0.25537818270795803,0.028044487612886086,0.334544826818273,0.3374993399469474,0.22469181531145255,0.02978121129326007,0.648952541912444,0.09847552991275024
PB,FT,T1F,20,0.2998509892744969,0.3141426663752622,0.051167994424810584,0.19912140528943775,0.3609584593026982,0.022425362306016515,0.2104502308152676,0.21355124103988338,0.009608525147999104,0.1871691725175264,0.22134995333079188,0.004211121817310676,0.7991234755070896,0.8124857081420643,0.04657722110066437,0.6755190157922754,0.8561822936122525,0.020413367186488125,0.4765432098765432,0.4537037037037037,0.28604701161120255,0.037037037037037035,0.8888888888888888,0.12536563029377082,0.4203425438988941,0.42634801980378223,0.1572779901996808,0.12189823724717523,0.6606549221223197,0.06893011838040226,0.6545097051890838,0.7131530114257523,0.24662616619566655,0.1287705075902294,0.9352416610143378,0.10808868303815954
PB,FT,T2,20,0.35270742954650125,0.35117665702830186,0.032856732435049586,0.2607490275462015,0.40399620085532345,0.01440009789968544,0.2183498093690658,0.21862532065168302,0.0034202502999383984,0.2122959078484716,0.22473507425333739,0.0014989907854623553,0.8293800468240797,0.8327813917721694,0.020906329543672116,0.792665631120416,0.8638963019443385,0.00916260290785395,0.7561728395061729,0.8024691358024691,0.13677402187179005,0.41358024691358025,0.8888888888888888,0.05994385805042765,0.5683788314308487,0.5682013239867821,0.10562550602273095,0.3805823145580857,0.7667415985669782,0.0462924190784294,0.8523027166411474,0.8734562648983898,0.10398026379875451,0.5906081831695726,0.9861754057683034,0.045571359881785616
PL,FT,T1B,20,0.3459101063096329,0.39933983607386647,0.14669737141972766,0.0,0.46626036312146824,0.06429295774454899,0.16918557844503035,0.17862731742826415,0.031382512335578816,0.1,0.19705603997226415,0.013753992453867664,0.6078252354678688,0.701618771077759,0.2602110126304801,0.0,0.7988590102190589,0.11404250449621871,0.28672839506172837,0.2654320987654321,0.17958056900769434,0.0,0.6666666666666666,0.07870465450890211,0.2640771317809224,0.23176852979389723,0.14951807532024167,0.00999810067465368,0.6451743729072112,0.06552918573507482,0.4859243437957628,0.5428277357569142,0.23174638764954825,0.0,0.7820180697850204,0.10156733255958388
PL,FT,T1F,20,0.33449820096231553,0.3459288401724858,0.041117367423943,0.20371756797227922,0.3860311890912366,0.018020480808691303,0.21258848220553284,0.21672834496046467,0.009345277775981023,0.19029056113870613,0.22247319658238277,0.004095748569639478,0.8070027142163715,0.8213515567213527,0.039605033129942034,0.7193575020640997,0.8537845278233165,0.017357671080617604,0.7188271604938272,0.7345679012345679,0.15138534937531758,0.4567901234567901,0.8827160493827161,0.06634755467215002,0.544683234797601,0.5308284444490485,0.0913232817871938,0.41655440271773125,0.7078987259022894,0.04002419293688863,0.8655992035736337,0.8768709668267205,0.08409464403477795,0.6633270944867019,0.9785399296850726,0.0368561027586605
PL,FT,T2,20,0.34506922239884524,0.35094031505233286,0.04075932569119867,0.19352004313012053,0.40640085927097974,0.01786356210066447,0.21925701155282282,0.2201082523405306,0.005613874884788586,0.2030839355502172,0.2263539804845624,0.002460389148474951,0.8347846157967814,0.8380755884611513,0.030445865028211602,0.7454291559770078,0.8741883880681284,0.01334348867202548,0.7765432098765432,0.8672839506172839,0.15422960257163362,0.4074074074074074,0.9012345679012346,0.06759410359661802,0.5636692116334057,0.5825310921568472,0.08966617323258216,0.373211461241518,0.6719484088614003,0.03929793309154385,0.8133388565446407,0.8534040478089795,0.17821779955443268,0.18503021798407965,0.9867320310771025,0.07810739446241205
RB,FT,T2,10,0.135824799444867,0.14117409064679307,0.04551705099542254,0.06487693022741825,0.204057547556955,0.028211760489835636,0.18539341667959608,0.18554466614073173,0.00935490899296278,0.16769223893130164,0.20145347839284608,0.005798232665385475,0.6682118453839606,0.6834158629533418,0.05978467381370198,0.557131100841932,0.7559877743817727,0.037054924730618555,0.4580246913580247,0.4506172839506173,0.1824238571262926,0.1728395061728395,0.7222222222222222,0.11306747806215575,0.39348806670085773,0.4019391163146119,0.1008995269888022,0.2387421552128127,0.5047659703916985,0.06253817474317615,0.7055852970571783,0.7270392031831874,0.1366423946348956,0.4403782408647793,0.8827604860939919,0.08469183362922503
