base_experiment_id,internal_hr_mean_macro_f1,external_biored_macro_f1,external_bc5cdr_macro_f1,biored_seed_std,pairing_clinical_index,z_internal,z_biored,z_bc5cdr,z_stability_proxy,z_pairing_clinical,penalty,composite_balanced_scientific_default,composite_benchmark_generalization_heavy,composite_stability_heavy,composite_pairing_clinical_anchored
M003,0.7554,0.2837,0.5483,0.0078,0.5287,0.9243,0.6693,0.9352,0.7978,0.6891,0.0,0.72719,0.73364,0.73283,0.70529
M005,0.5978,0.2746,0.4798,0.0224,0.516,0.0,0.311,0.4363,0.0,0.5763,0.25,0.21119,0.22113,0.13861,0.25279
M009,0.7085,0.2775,0.4729,0.0143,0.4769,0.6493,0.4252,0.386,0.4426,0.2301,0.05,0.35297,0.35604,0.36744,0.31727
M010,0.7394,0.2801,0.5002,0.0102,0.4625,0.8305,0.5276,0.5849,0.6667,0.1029,0.0,0.46036,0.49364,0.5146,0.3825
M015,0.7683,0.2857,0.5572,0.0052,0.4899,1.0,0.748,1.0,0.9399,0.3452,0.0,0.71209,0.76668,0.77179,0.62839
M021,0.7474,0.2844,0.5293,0.0041,0.5639,0.8774,0.6969,0.7968,1.0,1.0,0.0,0.79389,0.74981,0.80892,0.82918
M025,0.7454,0.2667,0.4199,0.0125,0.4509,0.8657,0.0,0.0,0.541,0.0,0.0,0.17962,0.1082,0.24237,0.1504
M026,0.6998,0.2808,0.4611,0.0095,0.4715,0.5982,0.5551,0.3001,0.7049,0.1822,0.12,0.36031,0.37099,0.42794,0.31945
S001,0.7504,0.2921,0.4735,0.0064,0.4603,0.895,1.0,0.3904,0.8743,0.0834,0.12,0.51564,0.56844,0.60107,0.41766
S002,0.7612,0.2899,0.482,0.0088,0.5089,0.9584,0.9134,0.4523,0.7432,0.5134,0.12,0.59405,0.59158,0.61083,0.55822
