base_experiment_id,registry_role_from_external_eval,decision_role,notes
M003,,conditional_bc5cdr_pubmed_line,Strong BC5CDR; pipeline PubMedBERT anchor.
M005,,diagnostic_only,T3 aux control; not default.
M009,,optional_shared_encoder,
M010,,conditional_or_ablation,
M015,,default_recommended_benchmark_policy,
M021,,secondary_recommended_benchmark_policy,
M025,,conditional_or_ablation,
M026,,diagnostic_only,Weighted CE diagnostic.
S001,,conditional_bioRED_first,Top BioRED external mean F1; weighted-CE penalty in default rule.
S002,,conditional_bioRED_first,Top BioRED external mean F1; weighted-CE penalty in default rule.
