base_experiment_id,max_pairing_family,max_pairing_f1,min_pairing_family,min_pairing_f1,spread,profile_summary
M003,variant_disease,0.6495,drug_gene,0.4139,0.2356,variant_strong
M005,variant_disease,0.6238,drug_gene,0.405,0.2188,variant_strong
M009,variant_disease,0.5514,drug_gene,0.3817,0.1697,balanced
M010,variant_disease,0.5818,drug_gene,0.345,0.2368,balanced
M015,variant_disease,0.5482,drug_gene,0.4037,0.1445,balanced
M021,variant_disease,0.699,drug_gene,0.4024,0.2966,variant_strong
M025,variant_disease,0.5348,drug_gene,0.3425,0.1923,balanced
M026,variant_disease,0.5571,drug_gene,0.3512,0.2059,balanced
S001,drug_disease,0.5361,drug_gene,0.3681,0.168,balanced
S002,drug_disease,0.5726,drug_gene,0.4342,0.1384,balanced
